Bordereau_Date|MGA_CODE|Policy_Number|Policy_Effective_Date|Policy_Expiration_Date|Tax_Surcharge_State|Tax_Surchage_Code|Tax_Surchage_Amount|TFS_Amount_Currency|Endorsement_Sequence_Number|Starr_Collectible_Ind
2015-07-31|M01001|SIGBR510001078|2015-07-01|2016-07-01|NJ|10016|65.00|USD|0|101
2015-07-31|M01001|SIGBR510001082|2015-07-26|2016-07-26|NJ|10016|99.00|USD|0|101
2015-07-31|M01001|SIGBR510001117|2014-03-17|2015-03-17|NJ|10016|3.00|USD|0|101
2015-07-31|M01001|SIGBR510001137|2015-07-01|2016-07-01|NJ|10016|16.00|USD|0|101
2015-07-31|M01001|SIGBR510001141|2015-07-26|2016-07-26|NJ|10016|122.00|USD|0|101
2015-07-31|M01001|SIGBR510001142|2015-07-31|2016-07-31|NJ|10016|225.00|USD|0|101
2015-07-31|M01001|SIGBR510001184|2015-03-16|2016-03-16|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGBR510001202|2015-07-03|2016-07-03|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGBC520001004|2015-07-10|2016-07-10|NJ|10016|127.00|USD|0|101
2015-07-31|M01001|SIGBC520001005|2015-07-16|2016-07-16|NJ|10016|42.00|USD|0|101
2015-07-31|M01001|SIGCP600000003|2015-07-06|2016-07-06|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600000005|2015-07-02|2016-07-02|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600000022|2015-07-17|2016-07-17|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600000028|2015-07-23|2016-07-23|NJ|10016|21.00|USD|0|101
2015-07-31|M01001|SIGCP600000028|2015-07-23|2016-07-23|NJ|10016|1.00|USD|1|101
2015-07-31|M01001|SIGCP600000595|2015-05-25|2016-05-25|NJ|10016|2.00|USD|2|101
2015-07-31|M01001|SIGCP600000628|2015-07-15|2016-07-15|NJ|10016|19.00|USD|0|101
2015-07-31|M01001|SIGCP600000639|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600000653|2015-07-17|2016-07-17|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600000697|2015-07-30|2016-07-30|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGCP600000707|2015-07-06|2016-07-06|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP600000713|2015-07-10|2016-07-10|NJ|10016|20.00|USD|0|101
2015-07-31|M01001|SIGCP600000714|2015-07-10|2016-07-10|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGCP600000724|2015-07-16|2016-07-16|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600000726|2015-07-07|2016-07-07|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600000734|2015-07-01|2016-07-01|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP600000750|2015-07-15|2016-07-15|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600000751|2015-07-21|2016-07-21|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600000758|2015-07-27|2016-07-27|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600000762|2015-07-20|2016-07-20|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600000770|2015-07-13|2016-07-13|NJ|10016|22.00|USD|0|101
2015-07-31|M01001|SIGCP600000787|2015-07-18|2016-07-18|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGCP600000808|2015-07-13|2016-07-13|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600000816|2015-07-30|2016-07-30|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP600001328|2014-05-17|2015-05-17|NJ|10016|4.00|USD|1|101
2015-07-31|M01001|SIGCP600001328|2015-05-17|2016-05-17|NJ|10016|5.00|USD|1|101
2015-07-31|M01001|SIGCP600001336|2014-06-01|2015-06-01|NJ|10016|-11.00|USD|5|101
2015-07-31|M01001|SIGCP600001383|2014-06-16|2015-06-16|NJ|10016|14.00|USD|1|101
2015-07-31|M01001|SIGCP600001383|2015-06-16|2016-06-16|NJ|10016|15.00|USD|1|101
2015-07-31|M01001|SIGCP600001411|2015-07-01|2016-07-01|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGCP600001427|2015-07-25|2016-07-25|NJ|10016|22.00|USD|0|101
2015-07-31|M01001|SIGCP600001427|2015-07-25|2016-07-25|NJ|10016|-8.00|USD|1|101
2015-07-31|M01001|SIGCP600001429|2015-07-15|2016-07-15|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP600001445|2015-07-22|2016-07-22|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600001460|2015-07-25|2016-07-25|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600001473|2015-07-24|2016-07-24|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGCP600001474|2015-07-30|2016-07-30|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGCP600001514|2015-07-02|2016-07-02|NJ|10016|24.00|USD|0|101
2015-07-31|M01001|SIGCP600001954|2015-07-01|2016-07-01|NJ|10016|16.00|USD|0|101
2015-07-31|M01001|SIGCP600001987|2015-07-01|2016-07-01|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGCP600001988|2015-06-24|2016-06-24|NJ|10016|1.00|USD|1|101
2015-07-31|M01001|SIGCP600002003|2015-07-08|2016-07-08|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600002004|2015-07-13|2016-07-13|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGCP600002005|2015-07-11|2016-07-11|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGCP600002010|2015-07-24|2016-07-24|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGCP600002014|2015-07-27|2016-07-27|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600002015|2015-07-19|2016-07-19|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600003135|2015-01-24|2016-01-24|NJ|10016|-53.00|USD|2|101
2015-07-31|M01001|SIGCP600003135|2014-01-24|2015-01-24|NJ|10016|-51.00|USD|2|101
2015-07-31|M01001|SIGCP600003157|2015-02-15|2016-02-15|NJ|10016|3.00|USD|2|101
2015-07-31|M01001|SIGCP600003326|2015-07-01|2016-07-01|NJ|10016|62.00|USD|0|101
2015-07-31|M01001|SIGCP600003330|2015-07-08|2016-07-08|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600003334|2015-07-15|2016-07-15|NJ|10016|18.00|USD|0|101
2015-07-31|M01001|SIGCP600003337|2015-07-20|2016-07-20|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600003699|2014-05-20|2015-05-20|NJ|10016|-7.00|USD|4|101
2015-07-31|M01001|SIGCP600003700|2014-05-20|2015-05-20|NJ|10016|6.00|USD|1|101
2015-07-31|M01001|SIGCP600003700|2015-05-20|2016-05-20|NJ|10016|2.00|USD|1|101
2015-07-31|M01001|SIGCP600003703|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600003712|2015-07-01|2016-07-01|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600003737|2014-06-05|2015-06-05|NJ|10016|4.00|USD|1|101
2015-07-31|M01001|SIGCP600003737|2015-06-05|2016-06-05|NJ|10016|4.00|USD|1|101
2015-07-31|M01001|SIGCP600003752|2015-07-10|2016-07-10|NJ|10016|25.00|USD|0|101
2015-07-31|M01001|SIGCP600003753|2015-07-11|2016-07-11|NJ|10016|18.00|USD|0|101
2015-07-31|M01001|SIGCP600003754|2015-07-12|2016-07-12|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCP600003756|2015-07-12|2016-07-12|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600003757|2015-07-22|2016-07-22|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600003763|2015-07-12|2016-07-12|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGCP600003765|2015-07-15|2016-07-15|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600003774|2015-07-22|2016-07-22|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGCP600003776|2015-07-31|2016-07-31|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600003982|2014-02-19|2015-02-19|NJ|10016|-9.00|USD|2|101
2015-07-31|M01001|SIGCP600004042|2014-04-12|2015-04-12|NJ|10016|-49.00|USD|3|101
2015-07-31|M01001|SIGCP600004123|2015-06-17|2016-06-17|NJ|10016|5.00|USD|1|101
2015-07-31|M01001|SIGCP600004123|2014-06-17|2015-06-17|NJ|10016|1.00|USD|1|101
2015-07-31|M01001|SIGCP600004129|2015-07-01|2016-07-01|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004135|2015-07-01|2016-07-01|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGCP600004137|2015-07-03|2016-07-03|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP600004138|2015-07-03|2016-07-03|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004139|2015-07-13|2016-07-13|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGCP600004141|2015-07-11|2016-07-11|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCP600004141|2014-07-11|2015-07-11|NJ|10016|1.00|USD|1|101
2015-07-31|M01001|SIGCP600004142|2015-07-11|2016-07-11|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004143|2015-07-07|2016-07-07|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600004144|2015-07-20|2016-07-20|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600004145|2015-07-28|2016-07-28|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004146|2015-07-15|2016-07-15|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP600004147|2015-07-22|2016-07-22|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004148|2015-07-16|2016-07-16|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004150|2015-07-22|2016-07-22|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004151|2015-07-23|2016-07-23|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004153|2015-07-20|2016-07-20|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004154|2015-07-24|2016-07-24|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCP600004157|2015-07-18|2016-07-18|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600004159|2015-07-25|2016-07-25|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGCP600004162|2015-07-21|2016-07-21|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004162|2015-07-21|2016-07-21|NJ|10016|1.00|USD|1|101
2015-07-31|M01001|SIGCP600004163|2015-07-29|2016-07-29|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGCP600004165|2015-07-11|2016-07-11|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCP600004166|2015-07-18|2016-07-18|NJ|10016|31.00|USD|0|101
2015-07-31|M01001|SIGCP600004167|2015-07-10|2016-07-10|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP600004170|2015-07-29|2016-07-29|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGCP600004172|2015-07-29|2016-07-29|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004173|2015-07-29|2016-07-29|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004174|2015-07-29|2016-07-29|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004175|2015-07-30|2016-07-30|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004176|2015-07-31|2016-07-31|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004182|2015-07-31|2016-07-31|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600004417|2015-02-06|2016-02-06|NJ|10016|1.00|USD|2|101
2015-07-31|M01001|SIGCP600004626|2015-07-25|2016-07-25|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGCP600004662|2015-07-01|2016-07-01|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP600004671|2015-07-02|2016-07-02|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004672|2015-06-29|2016-06-29|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004673|2015-07-06|2016-07-06|NJ|10016|18.00|USD|0|101
2015-07-31|M01001|SIGCP600004674|2015-06-13|2016-06-13|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004675|2015-06-29|2016-06-29|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGCP600004676|2015-07-01|2016-07-01|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004677|2015-06-30|2016-06-30|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004678|2015-07-19|2016-07-19|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004679|2015-07-09|2016-07-09|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004680|2015-07-02|2016-07-02|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004681|2015-07-15|2016-07-15|NJ|10016|7.00|USD|0|101
2015-07-31|M01001|SIGCP600004682|2015-06-24|2016-06-24|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGCP600004683|2015-07-20|2016-07-20|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004684|2015-07-16|2016-07-16|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004685|2015-07-18|2016-07-18|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGCP600004686|2015-07-17|2016-07-17|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004687|2015-07-15|2016-07-15|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004688|2015-07-15|2016-07-15|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004689|2015-07-24|2016-07-24|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCP600004691|2015-07-09|2016-07-09|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004692|2015-07-25|2016-07-25|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004693|2015-07-20|2016-07-20|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004694|2015-07-20|2016-07-20|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGCP600004695|2015-07-21|2016-07-21|NJ|10016|8.00|USD|0|101
2015-07-31|M01001|SIGCP600004697|2015-07-21|2016-07-21|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004698|2015-07-21|2016-07-21|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGCP600004699|2015-07-22|2016-07-22|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004701|2015-07-20|2016-07-20|NJ|10016|11.00|USD|0|101
2015-07-31|M01001|SIGCP600004702|2015-07-31|2016-07-31|NJ|10016|9.00|USD|0|101
2015-07-31|M01001|SIGUM700000116|2015-07-11|2016-07-11|NJ|10016|12.00|USD|0|101
2015-07-31|M01001|SIGUM700000139|2015-07-01|2016-07-01|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGUM700000144|2015-07-27|2016-07-27|NJ|10016|6.00|USD|0|101
2015-07-31|M01001|SIGUM700000207|2015-07-15|2016-07-15|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700000315|2015-07-30|2016-07-30|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700000319|2015-07-02|2016-07-02|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700000420|2015-07-06|2016-07-06|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGUM700001084|2015-07-24|2016-07-24|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700001087|2015-07-29|2016-07-29|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700001099|2015-07-31|2016-07-31|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700001300|2015-07-13|2016-07-13|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700001302|2015-07-26|2016-07-26|NJ|10016|20.00|USD|0|101
2015-07-31|M01001|SIGUM700001305|2015-07-27|2016-07-27|NJ|10016|14.00|USD|0|101
2015-07-31|M01001|SIGUM700001306|2015-07-31|2016-07-31|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGUM700001307|2015-07-18|2016-07-18|NJ|10016|15.00|USD|0|101
2015-07-31|M01001|SIGUM700001312|2015-07-15|2016-07-15|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700001373|2015-07-11|2016-07-11|NJ|10016|10.00|USD|0|101
2015-07-31|M01001|SIGUM700001383|2015-07-27|2016-07-27|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700001397|2015-07-01|2015-12-02|NJ|10016|4.00|USD|0|101
2015-07-31|M01001|SIGUM700001398|2015-07-15|2016-07-15|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGUM700001399|2015-07-31|2015-12-16|NJ|10016|4.00|USD|0|101
2015-07-31|M01001|SIGCA750000061|2015-07-24|2016-07-24|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGCA750000111|2015-07-29|2016-07-29|NJ|10016|13.00|USD|0|101
2015-07-31|M01001|SIGCA750001048|2015-07-28|2016-07-28|NJ|10016|27.00|USD|0|101
2015-07-31|M01001|SIGCA750001048|2014-07-28|2015-07-28|NJ|10016|1.00|USD|0|101
2015-07-31|M01001|SIGCA750001048|2015-07-28|2016-07-28|NJ|10016|26.00|USD|0|101
2015-07-31|M01001|SIGCA750001069|2015-07-02|2016-07-02|NJ|10016|49.00|USD|0|101
2015-07-31|M01001|SIGCM800000001|2015-07-21|2016-07-21|NJ|10016|24.00|USD|0|101
2015-07-31|M01001|SIGCM800000007|2015-07-21|2016-07-21|NJ|10016|5.00|USD|0|101
2015-07-31|M01001|SIGCM800000019|2015-07-17|2016-07-17|NJ|10016|67.00|USD|0|101
2015-07-31|M01001|SIGCM800000019|2015-07-17|2016-07-17|NJ|10016|-4.00|USD|1|101
2015-07-31|M01001|SIGCM800000276|2015-06-11|2016-06-11|NJ|10016|-1.00|USD|2|101
2015-07-31|M01001|SIGCM800000301|2015-07-06|2016-07-06|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGCM800000303|2015-07-27|2016-07-27|NJ|10016|37.00|USD|0|101
2015-07-31|M01001|SIGCM800000305|2015-07-14|2016-07-14|NJ|10016|32.00|USD|0|101
2015-07-31|M01001|SIGCM800000311|2015-07-01|2016-07-01|NJ|10016|144.00|USD|0|101
2015-07-31|M01001|SIGCM800000311|2015-07-01|2016-07-01|NJ|10016|-12.00|USD|1|101
2015-07-31|M01001|SIGCM800000313|2015-07-22|2016-07-22|NJ|10016|85.00|USD|0|101
2015-07-31|M01001|SIGCM800000314|2015-07-25|2016-07-25|NJ|10016|25.00|USD|0|101
2015-07-31|M01001|SIGCM800000315|2015-07-09|2016-07-09|NJ|10016|71.00|USD|0|101
2015-07-31|M01001|SIGCM800000316|2015-07-20|2016-07-20|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGCM800000318|2015-07-22|2016-07-22|NJ|10016|42.00|USD|0|101
2015-07-31|M01001|SIGCM800000322|2015-07-09|2016-07-09|NJ|10016|49.00|USD|0|101
2015-07-31|M01001|SIGCM800000323|2015-07-12|2016-07-12|NJ|10016|52.00|USD|0|101
2015-07-31|M01001|SIGCM800000329|2015-07-24|2016-07-24|NJ|10016|95.00|USD|0|101
2015-07-31|M01001|SIGCM800000330|2015-07-10|2016-07-10|NJ|10016|68.00|USD|0|101
2015-07-31|M01001|SIGCM800000332|2015-07-27|2016-07-27|NJ|10016|78.00|USD|0|101
2015-07-31|M01001|SIGCM800000333|2015-07-25|2016-07-25|NJ|10016|57.00|USD|0|101
2015-07-31|M01001|SIGCM800000334|2015-07-27|2016-07-27|NJ|10016|45.00|USD|0|101
2015-07-31|M01001|SIGCM800000336|2014-07-29|2015-07-29|NJ|10016|2.00|USD|1|101
2015-07-31|M01001|SIGCM800000336|2014-07-29|2015-07-29|NJ|10016|-2.00|USD|2|101
2015-07-31|M01001|SIGCM800000336|2015-07-29|2016-07-29|NJ|10016|41.00|USD|0|101
2015-07-31|M01001|SIGCM800000339|2015-07-27|2016-07-27|NJ|10016|100.00|USD|0|101
2015-07-31|M01001|SIGCM800000458|2014-11-09|2015-11-09|NJ|10016|-3.00|USD|1|101
2015-07-31|M01001|SIGCM800000557|2015-01-05|2016-01-05|NJ|10016|41.00|USD|1|101
2015-07-31|M01001|SIGCM800000686|2015-05-01|2016-05-01|NJ|10016|-9.00|USD|1|101
2015-07-31|M01001|SIGCM800000745|2015-07-10|2016-07-10|NJ|10016|26.00|USD|0|101
2015-07-31|M01001|SIGCM800000754|2015-06-25|2016-06-25|NJ|10016|-1.00|USD|2|101
2015-07-31|M01001|SIGCM800000754|2015-06-25|2016-06-25|NJ|10016|1.00|USD|3|101
2015-07-31|M01001|SIGCM800000761|2015-07-08|2016-07-08|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGCM800000762|2015-07-01|2016-07-01|NJ|10016|431.00|USD|0|101
2015-07-31|M01001|SIGCM800000765|2015-07-11|2016-07-11|NJ|10016|43.00|USD|0|101
2015-07-31|M01001|SIGCM800000769|2015-07-19|2016-07-19|NJ|10016|44.00|USD|0|101
2015-07-31|M01001|SIGCM800000770|2015-07-25|2016-07-25|NJ|10016|69.00|USD|0|101
2015-07-31|M01001|SIGCM800000772|2015-07-25|2016-07-25|NJ|10016|48.00|USD|0|101
2015-07-31|M01001|SIGCM800000775|2015-07-30|2016-07-30|NJ|10016|47.00|USD|0|101
2015-07-31|M01001|SIGCM800000777|2015-07-30|2016-07-30|NJ|10016|29.00|USD|0|101
2015-07-31|M01001|SIGCM800000777|2015-07-30|2016-07-30|NJ|10016|2.00|USD|1|101
2015-07-31|M01001|SIGCM800000778|2015-07-23|2016-07-23|NJ|10016|43.00|USD|0|101
2015-07-31|M01001|SIGCM800000783|2015-07-17|2016-07-17|NJ|10016|56.00|USD|0|101
2015-07-31|M01001|SIGCM800000785|2015-07-28|2016-07-28|NJ|10016|75.00|USD|0|101
2015-07-31|M01001|SIGCM800000786|2015-07-28|2016-07-28|NJ|10016|44.00|USD|0|101
2015-07-31|M01001|SIGCM800000787|2015-07-18|2016-07-18|NJ|10016|25.00|USD|0|101
2015-07-31|M01001|SIGCM800000788|2015-07-16|2016-07-16|NJ|10016|191.00|USD|0|101
2015-07-31|M01001|SIGCM800000790|2015-07-15|2016-07-15|NJ|10016|287.00|USD|0|101
2015-07-31|M01001|SIGCM800000790|2015-07-15|2016-07-15|NJ|10016|-60.00|USD|1|101
2015-07-31|M01001|SIGCM800000792|2015-07-29|2016-07-29|NJ|10016|32.00|USD|0|101
2015-07-31|M01001|SIGCM800000974|2014-12-20|2015-12-20|NJ|10016|-2.00|USD|13|101
2015-07-31|M01001|SIGCM800001019|2015-01-21|2016-01-21|NJ|10016|5.00|USD|4|101
2015-07-31|M01001|SIGCM800001071|2015-04-25|2016-04-25|NJ|10016|-2.00|USD|3|101
2015-07-31|M01001|SIGCM800001123|2015-06-10|2016-06-10|NJ|10016|-1.00|USD|1|101
2015-07-31|M01001|SIGCM800001133|2015-07-28|2016-07-28|NJ|10016|41.00|USD|0|101
2015-07-31|M01001|SIGCM800001133|2015-07-28|2016-07-28|NJ|10016|-1.00|USD|1|101
2015-07-31|M01001|SIGCM800001135|2015-07-01|2016-07-01|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGCM800001138|2015-07-16|2016-07-16|NJ|10016|17.00|USD|0|101
2015-07-31|M01001|SIGCM800001139|2015-07-11|2016-07-11|NJ|10016|56.00|USD|0|101
2015-07-31|M01001|SIGCM800001142|2015-07-08|2016-07-08|NJ|10016|47.00|USD|0|101
2015-07-31|M01001|SIGCM800001144|2015-07-06|2016-07-06|NJ|10016|116.00|USD|0|101
2015-07-31|M01001|SIGCM800001144|2015-07-06|2016-07-06|NJ|10016|-3.00|USD|2|101
2015-07-31|M01001|SIGCM800001145|2015-07-15|2016-07-15|NJ|10016|55.00|USD|0|101
2015-07-31|M01001|SIGCM800001148|2015-07-25|2016-07-25|NJ|10016|56.00|USD|0|101
2015-07-31|M01001|SIGCM800001151|2015-07-28|2016-07-28|NJ|10016|64.00|USD|0|101
2015-07-31|M01001|SIGCM800001154|2015-07-23|2016-07-23|NJ|10016|30.00|USD|0|101
2015-07-31|M01001|SIGCM800002003|2014-09-01|2015-09-01|NJ|10016|1.00|USD|5|101
2015-07-31|M01001|SIGCM800002025|2014-09-23|2015-09-23|NJ|10016|13.00|USD|5|101
2015-07-31|M01001|SIGCM800002042|2014-11-01|2015-11-01|NJ|10016|18.00|USD|1|101
2015-07-31|M01001|SIGCM800002187|2015-03-09|2016-03-09|NJ|10016|-19.00|USD|1|101
2015-07-31|M01001|SIGCM800002187|2015-03-09|2016-03-09|NJ|10016|-8.00|USD|2|101
2015-07-31|M01001|SIGCM800002187|2015-03-09|2016-03-09|NJ|10016|-31.00|USD|3|101
2015-07-31|M01001|SIGCM800002187|2015-03-09|2016-03-09|NJ|10016|-1.00|USD|4|101
2015-07-31|M01001|SIGCM800002249|2015-05-14|2016-05-14|NJ|10016|25.00|USD|1|101
2015-07-31|M01001|SIGCM800002249|2014-05-14|2015-05-14|NJ|10016|4.00|USD|2|101
2015-07-31|M01001|SIGCM800002253|2015-05-31|2016-05-31|NJ|10016|23.00|USD|1|101
2015-07-31|M01001|SIGCM800002291|2015-07-24|2016-07-24|NJ|10016|56.00|USD|0|101
2015-07-31|M01001|SIGCM800002293|2015-07-04|2016-07-04|NJ|10016|29.00|USD|0|101
2015-07-31|M01001|SIGCM800002294|2015-07-10|2016-07-10|NJ|10016|54.00|USD|0|101
2015-07-31|M01001|SIGCM800002295|2015-07-11|2016-07-11|NJ|10016|23.00|USD|0|101
2015-07-31|M01001|SIGCM800002297|2015-07-16|2016-07-16|NJ|10016|79.00|USD|0|101
2015-07-31|M01001|SIGCM800002299|2015-07-18|2016-07-18|NJ|10016|31.00|USD|0|101
2015-07-31|M01001|SIGCM800002301|2015-07-20|2016-07-20|NJ|10016|21.00|USD|0|101
2015-07-31|M01001|SIGCM800002304|2015-07-30|2016-07-30|NJ|10016|67.00|USD|0|101
2015-07-31|M01001|SIGCM800002305|2015-07-26|2016-07-26|NJ|10016|59.00|USD|0|101
2015-07-31|M01001|SIGCM800002306|2015-07-25|2016-07-25|NJ|10016|42.00|USD|0|101
2015-07-31|M01001|SIGCM800002309|2015-07-11|2016-07-11|NJ|10016|46.00|USD|0|101
2015-07-31|M01001|SIGCM800002310|2015-07-11|2016-07-11|NJ|10016|41.00|USD|0|101
2015-07-31|M01001|SIGCM800002323|2015-07-24|2016-07-24|NJ|10016|28.00|USD|0|101
2015-07-31|M01001|SIGCM800002409|2014-12-07|2015-12-07|NJ|10016|14.00|USD|2|101
